Event	ID	Name			Wwise Object Path	Notes
	8018734	Play_Glock_Recarga			\Default Work Unit\Play_Glock_Recarga	
	123959724	Play_1911_Recarga			\Default Work Unit\Play_1911_Recarga	
	206058248	Play_Dk_Disparo			\Default Work Unit\Play_Dk_Disparo	
	209422798	Play_CTerrorist_Win			\Default Work Unit\Play_CTerrorist_Win	
	403575789	Play_Tec9_Recarga			\Default Work Unit\Play_Tec9_Recarga	
	463614408	Play_Scar_Disparo			\Default Work Unit\Play_Scar_Disparo	
	856847256	Play_Famas_Recarga			\Default Work Unit\Play_Famas_Recarga	
	923844420	Play_Awp_Recarga			\Default Work Unit\Play_Awp_Recarga	
	1136421811	Play_Usp_Disparo			\Default Work Unit\Play_Usp_Disparo	
	1171709836	Play_Usp_Recarga			\Default Work Unit\Play_Usp_Recarga	
	1785532551	Play_Dk_Recarga			\Default Work Unit\Play_Dk_Recarga	
	1888624163	Play_Recarga_AK47			\Default Work Unit\Play_Recarga_AK47	
	2108779966	Walk			\Default Work Unit\Walk	
	2111365587	Play_1911_Disparo			\Default Work Unit\Play_1911_Disparo	
	2570041344	Play_MenuMusic			\Default Work Unit\Play_MenuMusic	
	2711817465	Play_Glock_Disparo			\Default Work Unit\Play_Glock_Disparo	
	2785419335	Play_Scar_Recarga			\Default Work Unit\Play_Scar_Recarga	
	2872757021	Play_XM_Recarga			\Default Work Unit\Play_XM_Recarga	
	2944545518	Play_MusicaFondo			\Default Work Unit\Play_MusicaFondo	
	3052655297	Shoot_Ak			\Default Work Unit\Shoot_Ak	
	3064026271	Play_Terrorist_Win			\Default Work Unit\Play_Terrorist_Win	
	3513490094	Escopetazo			\Default Work Unit\Escopetazo	
	3572903216	Play_CancionAvatar_1			\Default Work Unit\Play_CancionAvatar_1	
	3572903218	Play_CancionAvatar_3			\Default Work Unit\Play_CancionAvatar_3	
	3572903219	Play_CancionAvatar_2			\Default Work Unit\Play_CancionAvatar_2	
	3572903220	Play_CancionAvatar_5			\Default Work Unit\Play_CancionAvatar_5	
	3572903221	Play_CancionAvatar_4			\Default Work Unit\Play_CancionAvatar_4	
	3572903223	Play_CancionAvatar_6			\Default Work Unit\Play_CancionAvatar_6	
	3593958106	Play_XM_Disparo			\Default Work Unit\Play_XM_Disparo	
	3626292540	Play_Recarga_m4a4			\Default Work Unit\Play_Recarga_m4a4	
	3654096175	Play_Famas_Disparo			\Default Work Unit\Play_Famas_Disparo	
	3948312705	Shoot_m4a4			\Default Work Unit\Shoot_m4a4	
	3989193866	Play_Recarga_Escopeta			\Default Work Unit\Play_Recarga_Escopeta	
	4116635323	Play_G36_Disparo			\Default Work Unit\Play_G36_Disparo	
	4166230836	Play_G36_Recarga			\Default Work Unit\Play_G36_Recarga	
	4194686187	Play_Awp_Disparo			\Default Work Unit\Play_Awp_Disparo	
	4294838474	Play_Tec9_Disparo			\Default Work Unit\Play_Tec9_Disparo	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	23431316	CS_GO Music Kit Adjusted MVP anthem Flashbang Dance by The Verkkars & n0thing	.cache\D9\{D92C24AF-B5D1-3C43-6895-A89378FC84E9}.wem		\Containers\Default Work Unit\CS_GO Music Kit Adjusted MVP anthem Flashbang Dance by The Verkkars & n0thing		1803452
	62626153	FamasDisparo	.cache\FC\{FC5D35B8-DB2F-3B15-5BB3-8C0BC454CC3E}.wem		\Containers\Default Work Unit\FamasDisparo		472772
	78249162	M4a4Disparo	.cache\36\{36C321BE-9C70-7D46-497A-E005C33CA6C7}.wem		\Containers\Default Work Unit\M4a4Disparo		157188
	191970467	DictadorMbappe	.cache\3D\{3DB77B9E-3D44-0E39-EB44-E700F18CD5DF}.wem		\Containers\Default Work Unit\DictadorMbappe		43540576
	203937467	RecargaM4a4	.cache\05\{05B94B3A-2E0F-A899-9B21-2EA4A09411EB}.wem		\Containers\Default Work Unit\RecargaM4a4		305184
	302939321	XMDisparo	.cache\9E\{9E86D0F7-7423-EE27-F729-E523DF615D5E}.wem		\Containers\Default Work Unit\XMDisparo		559804
	331334922	Cucurella	.cache\B4\{B4C16519-1E63-F903-E394-CD5F5965A69A}.wem		\Containers\Default Work Unit\Cucurella		3487872
	350320315	Escopetazo	.cache\AE\{AE18DEC8-D27A-0F8B-8440-BE8431CD0E7A}.wem		\Containers\Default Work Unit\Escopetazo		355876
	371544596	ScarRegarca	.cache\2A\{2A6AAC6E-7A05-12E0-EC18-01BEE5431BE4}.wem		\Containers\Default Work Unit\ScarRegarca		477724
	379513054	AwpDisparo	.cache\04\{04B0F90B-C204-DE2E-A266-D6F6F066CEAF}.wem		\Containers\Default Work Unit\AwpDisparo		805004
	407444631	1911Recarga	.cache\DC\{DC8A6213-7CAC-DE0A-54D0-4A5199C6F70F}.wem		\Containers\Default Work Unit\1911Recarga		125180
	410987626	g36Disparo	.cache\78\{78ECA295-923F-982B-D3F3-44644FF0CDBB}.wem		\Containers\Default Work Unit\g36Disparo		17816
	414952582	DisparoUsp	.cache\DB\{DB02F66E-B580-A6D9-6FB0-BCFA24E81E11}.wem		\Containers\Default Work Unit\DisparoUsp		191976
	419694564	Epic Middle-Eastern Battle Music - Holy Land	.cache\97\{97017EF0-1101-FBB9-E712-59BEE80215B2}.wem		\Containers\Default Work Unit\Epic Middle-Eastern Battle Music - Holy Land		23986320
	443015749	ChikchikEscopeta	.cache\25\{253B27BD-07D1-E16A-13C7-970D172A726A}.wem		\Containers\Default Work Unit\ChikchikEscopeta		131148
	454672338	Usprecarga	.cache\90\{9041C6F4-68A0-936B-D2F6-4C5F7335CE4D}.wem		\Containers\Default Work Unit\Usprecarga		373856
	463124038	Gatito	.cache\CE\{CE8BE492-F6CF-A16D-7197-BCE9C8DF1BC2}.wem		\Containers\Default Work Unit\Gatito		40587360
	490552263	Tiringi	.cache\76\{76A3E2FF-719F-42A6-5B0A-31C6DC9B5F4A}.wem		\Containers\Default Work Unit\Tiringi		43323488
